x,y,z
-338,-25,-52
-340,-63,-82
-380,-99,-99
-409,-121,-66
-407,-130,-60
-434,-126,-38
-471,-126,-19
-495,-128,-24
-516,-132,-30
-571,-124,0
-487,-76,24
-471,-59,36
-495,-60,72
-521,-61,89
-600,-26,115
-637,0,130
-649,19,166
-594,-8,173
-571,-32,170
-546,-59,159
-532,-58,146
-503,-63,130
-533,-109,124
-554,-133,116
-579,-175,101
-556,-172,114
-527,-155,138
-472,-128,205
-456,-126,234
-467,-118,237
-486,-95,246
-450,-82,275
-413,-87,296
-378,-132,322
-378,-174,323
-363,-160,309
-307,-113,240
-253,-75,187
-235,-85,188
-271,-110,211
-387,-131,245
-433,-130,251
-414,-121,233
-356,-140,242
-345,-167,226
-342,-253,156
-278,-290,89
-215,-278,62
-138,-252,54
-112,-250,44
-106,-265,34
-79,-280,-108
25,-195,-190
98,-132,-181
231,-27,-118
333,22,-146
366,33,-205
359,39,-294
351,45,-312
300,76,-294
340,160,-255
361,208,-270
379,310,-324
373,401,-314
375,422,-285
434,400,-220
479,338,-203
501,331,-240
495,334,-294
400,302,-283
383,266,-273
395,265,-206
501,403,-91
553,465,-29
461,422,39
358,317,23
295,74,-17
339,34,-36
469,34,-57
485,34,-77
366,-20,-91
297,-59,-134
335,-5,-159
439,173,-112
451,238,-51
371,231,44
342,180,94
407,198,130
511,241,136
498,239,116
365,149,28
269,50,-5
270,-24,108
386,72,276
437,71,319
432,-29,231
370,-118,113
252,-250,-20
387,-135,133
444,-71,201
409,1,246
338,0,183
149,-87,-77
82,-159,-178
214,-120,-42
385,23,189
435,90,222
447,66,97
435,17,-16
327,-81,-134
278,-198,-118
278,-224,-80
265,-185,16
276,-96,123
296,-50,180
306,-3,227
290,-2,199
255,-45,78
228,-77,27
170,-79,-21
16,-19,-64
-90,-10,-97
-184,14,-146
-288,40,-127
-260,57,-129
-274,92,-91
-296,93,-108
-333,90,-164
-458,55,-222
-499,28,-237
-533,-22,-221
-522,0,-155
-518,37,-106
-537,92,-32
-547,105,-11
-587,89,3
-627,47,-14
-653,26,-28
-680,3,-56
-692,-5,-57
-723,-23,-45
-729,-26,-33
-699,-7,-19
-666,-18,-6
-647,-39,0
-633,-94,11
-638,-107,19
-647,-92,16
-615,-35,25
-585,-14,49
-521,3,139
-523,-3,170
-571,-29,160
-573,-60,122
-559,-75,112
-521,-102,100
-473,-107,107
-449,-117,97
-389,-88,76
-359,-68,87
-338,-85,152
-430,-178,190
-493,-216,183
-551,-222,140
-441,-176,138
-380,-177,132
-332,-253,91
-346,-341,43
-348,-363,23
-310,-387,-29
-282,-444,-85
-281,-482,-100
-236,-516,-140
-145,-500,-178
-94,-487,-184
12,-446,-178
52,-428,-142
39,-443,-131
-25,-479,-117
-56,-434,-79
-35,-383,-35
-14,-275,81
-27,-223,152
-49,-117,159
-13,-18,169
3,22,176
89,50,113
155,41,1
172,42,-56
224,97,-172
272,144,-228
371,221,-271
425,246,-272
422,253,-265
381,286,-252
338,366,-290
341,418,-315
393,542,-282
437,613,-205
445,626,-170
414,617,-123
348,550,-119
323,510,-131
355,453,-145
450,388,-150
456,338,-137
420,255,-144
402,227,-208
412,251,-212
452,285,-205
409,210,-211
343,131,-208
258,60,-224
285,147,-207
404,370,-89
294,379,60
154,288,136
-41,97,180
23,92,149
287,229,93
366,272,79
387,204,40
373,71,45
369,35,86
419,41,157
450,66,154
441,21,38
441,-14,6
625,117,156
645,195,208
582,200,262
410,19,158
303,-111,61
371,-212,63
526,-89,139
628,74,226
607,96,226
440,20,175
111,-86,199
-38,-157,202
-34,-256,83
55,-256,-31
277,-245,-167
491,-181,-164
511,-159,-133
432,-136,-76
366,-143,-75
370,-142,-60
339,-135,40
314,-112,102
366,2,171
290,62,166
263,58,139
182,-3,70
98,-49,39
-6,-116,-10
-31,-114,-24
-172,-52,28
-102,-4,-43
-135,-3,-46
-140,32,-26
-152,57,-9
-242,85,0
-387,68,-57
-434,43,-119
-480,-26,-233
-486,-49,-246
-492,-74,-199
-533,-43,-106
-558,-8,-50
-598,55,49
-599,75,87
-588,63,82
-602,7,42
-613,-9,18
-637,-18,3
-639,-1,3
-621,39,6
-612,39,3
-626,-7,-4
-618,-45,5
-604,-39,17
-566,-2,55
-570,-3,65
-639,-34,53
-666,-43,38
-638,-47,19
-549,-59,60
-522,-68,92
-526,-56,105
-540,-49,94
-541,-22,57
-528,-16,43
-470,-38,73
-494,-141,113
-543,-182,118
-570,-147,115
-465,-88,117
-434,-103,116
-444,-194,99
-438,-273,96
-419,-290,99
-381,-264,106
-393,-237,112
-417,-247,108
-389,-281,72
-375,-289,71
-325,-259,87
-203,-212,106
-115,-243,74
-128,-294,65
-222,-394,33
-291,-442,-25
-288,-450,-43
-207,-427,-29
-143,-400,33
-140,-395,76
-162,-381,147
-141,-318,148
-103,-290,140
11,-236,143
51,-230,149
8,-236,185
-21,-194,150
11,-152,102
79,-74,17
96,-48,0
125,-16,-3
141,3,-3
189,67,-52
187,112,-129
157,123,-157
136,145,-193
187,192,-199
200,222,-195
237,287,-218
273,354,-228
290,387,-212
314,442,-152
341,488,-100
356,516,-100
388,566,-133
409,567,-176
405,543,-192
376,454,-215
343,336,-247
345,287,-270
367,224,-302
414,234,-282
456,268,-262
504,321,-225
402,211,-233
342,146,-263
380,147,-289
513,273,-265
523,299,-239
400,222,-206
322,141,-170
357,146,-140
474,220,-54
501,253,-29
389,217,-36
276,119,-81
303,105,-95
420,133,-101
437,161,-101
347,128,-103
273,41,-64
283,28,-47
380,60,-25
434,101,-12
453,116,-29
392,62,-62
297,-78,-105
470,3,-32
533,69,9
491,87,15
405,18,-32
216,-187,-135
323,-198,-34
394,-136,33
433,-34,89
423,-16,71
318,-68,-9
234,-147,-55
299,-120,7
450,-21,111
458,15,116
375,74,62
319,68,32
228,21,-1
213,-79,25
234,-124,62
297,-96,149
345,-25,185
426,87,195
420,107,169
345,100,134
337,90,117
291,64,87
229,72,129
213,93,170
193,170,221
164,191,214
39,118,100
-36,58,31
-155,6,-80
-269,-22,-161
-317,-45,-194
-363,-92,-255
-383,-67,-270
-409,-36,-262
-481,-13,-215
-537,-39,-159
-535,-50,-132
-508,-3,-78
-502,33,-42
-519,74,15
-565,74,8
-593,53,0
-617,-12,-64
-609,-31,-95
-579,-10,-105
-621,41,-79
-643,61,-77
-658,21,-152
-644,-23,-208
-646,-98,-281
-723,-32,-201
-751,11,-144
-774,13,-81
-711,-1,-69
-659,-21,-49
-563,-40,2
-546,-45,20
-576,-64,24
-622,-73,56
-641,-78,107
-680,-129,206
-692,-178,231
-681,-238,217
-608,-214,204
-558,-204,207
-517,-233,220
-484,-290,185
-460,-315,159
-361,-333,121
-269,-323,136
-255,-326,148
-298,-328,178
-292,-332,142
-258,-356,109
-164,-404,72
-56,-419,99
-42,-422,124
-150,-466,143
-276,-498,83
-286,-497,63
-241,-488,82
-207,-448,183
-199,-415,239
-181,-330,326
-140,-314,310
-117,-328,247
-65,-355,110
-22,-340,177
-78,-300,226
-55,-218,160
152,-102,-4
232,-51,-49
329,13,-82
314,15,-96
193,-9,-138
175,3,-181
220,129,-220
309,300,-184
348,349,-175
378,343,-174
333,275,-209
297,260,-233
282,273,-294
333,313,-337
353,336,-335
350,344,-306
263,321,-277
210,313,-301
175,350,-358
254,452,-327
303,492,-287
368,481,-215
396,389,-189
402,356,-204
364,302,-245
299,263,-236
306,261,-220
371,254,-203
327,202,-195
273,170,-198
232,176,-183
309,289,-144
356,337,-124
317,301,-98
170,169,-104
132,136,-109
206,174,-83
263,210,-58
275,220,22
127,153,93
61,139,130
89,173,206
185,224,238
384,294,249
423,288,225
376,187,177
448,180,183
534,208,211
600,214,229
580,178,205
482,50,101
420,-2,82
542,91,172
593,135,189
531,62,140
377,-130,-11
336,-182,-28
433,-109,42
434,-81,57
367,-100,26
255,-199,-70
194,-239,-92
292,-194,46
388,-117,124
487,57,163
467,60,125
425,25,116
331,-44,164
343,-44,203
372,-18,288
333,53,359
291,92,363
224,120,356
207,91,341
212,3,261
208,-27,213
195,-98,156
233,-127,78
131,-213,-45
178,-99,-25
165,-25,16
137,63,66
118,72,50
25,26,-35
1,-6,-87
-112,-59,-141
-210,-60,-147
-234,-43,-137
-249,25,-127
-266,28,-149
-282,6,-161
-321,-48,-164
-360,-53,-140
-373,-33,-121
-387,15,-67
-386,33,-5
-409,34,0
-476,29,-32
-506,33,-66
-479,128,-92
-437,189,-73
-396,284,-14
-434,282,-21
-445,250,-41
-408,196,-69
-360,161,-47
-357,139,-13
-433,100,-25
-534,72,-100
-554,63,-121
-536,24,-85
-514,-32,-50
-524,-42,-61
-553,1,-67
-556,89,-53
-549,114,-26
-561,51,33
-590,-18,41
-654,-74,19
-626,-15,50
-537,111,112
-565,99,97
-610,40,71
-660,-2,22
-615,49,47
-517,115,94
-533,71,105
-635,-72,89
-672,-174,-6
-623,-166,-33
-472,-108,-29
-373,-164,-36
-337,-235,-53
-267,-332,-73
-311,-343,-60
-350,-323,-49
-384,-333,-56
-336,-397,-44
-303,-430,-26
-257,-431,-16
-236,-392,-13
-197,-373,15
-92,-374,42
-43,-382,47
28,-379,71
78,-322,100
106,-283,113
154,-231,132
155,-221,139
84,-180,145
-68,-102,214
-143,-72,248
-201,-36,281
-140,-27,244
-127,-34,207
-168,-34,161
-229,-47,139
-231,-57,118
-185,-57,66
-120,-50,14
-84,-30,-17
57,57,-78
130,100,-101
210,140,-143
240,174,-187
243,173,-210
224,174,-269
182,200,-291
191,244,-286
258,330,-228
311,318,-174
329,276,-177
308,204,-214
230,238,-233
232,289,-231
303,380,-200
364,403,-139
389,410,-104
433,406,-79
439,394,-105
430,367,-184
393,316,-237
365,266,-251
354,180,-212
426,212,-161
461,250,-174
433,280,-183
299,156,-160
262,89,-150
326,52,-154
375,93,-118
325,116,-78
176,170,-23
162,194,-27
280,219,-42
345,227,-57
332,207,-14
183,164,115
116,171,151
102,209,125
136,197,97
196,136,48
200,95,40
173,35,80
211,62,127
351,132,222
448,177,235
442,151,197
316,-17,69
284,-82,33
383,-70,75
443,-39,107
450,-80,78
322,-208,-68
284,-228,-71
368,-93,68
412,-12,135
402,-26,154
364,-161,27
329,-217,0
401,-128,106
461,-40,169
450,18,217
410,9,179
334,-10,103
272,-71,112
276,-107,129
328,-178,150
332,-186,168
309,-120,218
293,-35,273
310,-2,310
346,-33,359
333,-50,350
250,-29,273
229,-43,165
198,-63,106
159,-70,41
154,-52,36
91,-5,40
35,-2,2
-104,-47,-110
-188,-106,-205
-192,-112,-219
-219,-92,-214
-299,-67,-207
-313,-45,-207
-339,0,-197
-358,27,-164
-349,48,-133
-334,104,-99
-382,102,-119
-410,81,-138
-437,34,-168
-462,-13,-191
-480,-27,-195
-509,-29,-179
-536,-8,-139
-549,-3,-115
-602,-32,-102
-661,-82,-134
-660,-100,-154
-621,-145,-193
-615,-169,-214
-622,-233,-220
-623,-241,-186
-608,-216,-88
-549,-143,-19
-487,-61,120
-468,-44,257
-463,51,287
-494,220,291
-506,278,283
-453,297,283
-420,215,249
-466,138,210
-611,-26,83
-647,-102,-30
-609,-129,-57
-514,-227,-97
-468,-344,-118
-477,-379,-117
-502,-370,-54
-486,-291,57
-460,-255,110
-404,-222,167
-409,-178,183
-425,-157,180
-394,-95,171
-261,-109,152
-229,-151,135
-274,-196,101
-343,-184,56
-322,-169,33
-192,-197,-14
-162,-308,-85
-205,-381,-127
-345,-472,-187
-339,-506,-198
-288,-517,-186
-252,-624,-234
-322,-793,-333
-350,-890,-374
-357,-1024,-375
-258,-921,-214
-199,-782,-84
-123,-455,196
-106,-210,367
-104,-131,407
-87,-68,361
-76,-97,310
-42,-178,217
22,-231,164
-7,-261,152
-48,-278,99
-31,-261,70
-15,-239,38
-36,-209,2
-51,-197,-19
-85,-154,-42
-87,-98,-54
-4,48,-91
135,182,-132
182,201,-164
205,171,-211
209,126,-249
211,110,-260
209,125,-268
292,215,-257
333,271,-250
331,349,-248
248,380,-264
212,388,-264
193,404,-247
241,438,-219
280,463,-210
340,509,-236
353,518,-282
332,469,-288
296,402,-297
319,392,-254
361,397,-246
418,407,-266
413,410,-346
386,399,-377
409,345,-424
441,237,-565
411,-107,-677
260,-303,-816
225,-263,-791
272,3,-608
323,251,-360
274,287,-254
106,294,-75
110,413,41
198,515,50
333,618,32
292,571,36
89,400,95
61,374,150
229,426,295
332,439,340
304,407,318
212,250,228
228,219,196
412,223,214
493,228,219
496,185,138
429,122,66
305,0,-35
326,-13,-44
367,22,-38
385,77,-55
348,54,-97
268,-59,-155
272,-85,-90
270,-66,-65
247,12,-58
229,15,-70
190,-82,-143
184,-146,-194
230,-199,-160
378,-39,-2
428,57,56
435,154,72
413,138,50
405,72,-4
376,-22,42
348,-35,122
385,66,330
442,137,415
539,189,475
558,143,434
475,2,249
406,-85,155
334,-176,29
239,-193,-51
155,-178,-53
26,-103,-23
-38,-64,1
-43,7,7
-46,58,-8
-60,74,-31
-126,68,-79
-155,58,-96
-177,60,-100
-192,69,-66
-207,70,-52
-215,72,-26
-228,78,-21
-275,80,-44
-304,60,-92
-474,-26,-233
-475,-90,-335
-451,-95,-330
-435,-89,-264
-473,-108,-194
-530,-119,-159
-633,-115,-91
-630,-77,-29
-607,-45,0
-574,-13,31
-575,-21,22
-600,-53,-23
-611,-70,-56
-621,-66,-39
-649,-45,33
-630,-52,63
-619,-56,95
-524,38,152
-464,99,186
-458,68,199
-529,3,186
-700,-42,149
-688,-16,182
-611,0,216
-537,-90,177
-569,-150,146
-662,-223,108
-599,-159,138
-492,-98,174
-292,-73,190
-255,-167,160
-291,-196,147
-406,-209,151
-433,-164,147
-418,-154,137
-415,-199,88
-412,-289,17
-373,-311,-6
-278,-350,-16
-245,-445,-24
-257,-477,-17
-295,-525,-3
-367,-557,10
-386,-579,15
-352,-621,5
-311,-647,30
-313,-673,67
-356,-695,163
-388,-589,243
-374,-505,267
-316,-424,273
-294,-474,265
-285,-504,286
-270,-451,349
-169,-325,333
-98,-318,283
-17,-423,166
35,-572,60
48,-637,44
7,-635,69
-6,-570,73
14,-411,45
25,-348,30
7,-266,25
-39,-49,94
-41,137,107
45,422,56
91,440,20
114,218,-69
119,86,-122
174,-17,-192
253,67,-241
282,122,-269
277,166,-333
252,166,-346
199,192,-312
157,280,-250
158,323,-232
163,405,-207
196,470,-190
222,505,-175
264,560,-126
276,602,-121
289,601,-146
280,525,-210
231,414,-247
224,389,-257
265,442,-255
334,538,-235
352,559,-237
353,542,-269
329,476,-307
306,435,-309
269,372,-263
256,384,-198
281,440,-177
365,528,-170
287,421,-189
190,321,-195
99,178,-180
177,220,-102
246,260,-65
262,261,-17
214,239,-3
227,271,19
395,360,38
432,377,29
302,262,-32
211,166,-60
179,66,-23
231,105,21
384,236,119
436,271,139
369,200,131
208,50,132
207,32,173
297,63,253
340,95,253
374,107,171
360,66,130
365,28,152
370,53,173
375,66,168
383,33,101
368,5,68
327,-36,44
313,-52,61
310,-75,96
293,-92,91
204,-106,28
160,-143,-51
185,-148,-69
316,-126,-13
364,-94,48
352,-95,59
286,-137,48
269,-152,28
293,-160,-51
284,-163,-147
262,-153,-189
248,-95,-236
239,-67,-197
242,-45,-151
276,-29,10
282,-40,92
265,-70,206
266,-59,229
283,-38,210
327,-38,160
340,-29,134
263,-58,115
